Age,Attrition,Department,MonthlyIncome,PerformanceRating,YearsAtCompany
18,Yes,Research & Development,1904,3,0
33,Yes,Sales,8224,3,5
41,No,Research & Development,4766,3,1
31,Yes,Research & Development,2610,3,2
37,No,Research & Development,5731,3,6
27,No,Research & Development,2539,3,4
34,No,Sales,5714,4,6
35,No,Human Resources,4323,3,5
29,Yes,Sales,7336,3,11
40,No,Research & Development,13499,3,18
42,Yes,Sales,13758,3,21
42,No,Sales,5155,3,6
35,No,Research & Development,2258,3,8
24,No,Research & Development,3597,4,4
28,Yes,Research & Development,2515,3,1
26,No,Research & Development,4420,4,8
30,No,Sales,6578,3,10
40,No,Research & Development,4422,3,1
35,No,Research & Development,10274,3,7
34,No,Research & Development,5343,4,13
35,No,Research & Development,2376,3,2
43,Yes,Sales,5346,3,4
32,No,Sales,2827,3,1
56,No,Research & Development,19943,3,5
29,No,Research & Development,3131,3,10
19,No,Research & Development,2552,4,1
45,No,Research & Development,4477,3,3
37,No,Research & Development,6474,3,14
20,No,Research & Development,3033,3,2
44,Yes,Research & Development,2936,3,6
53,No,Research & Development,18606,3,7
29,No,Research & Development,2168,3,5
22,Yes,Research & Development,2853,3,0
46,No,Sales,17048,4,26
44,No,Research & Development,2290,3,0
33,No,Human Resources,3600,3,5
41,Yes,Research & Development,2107,3,1
30,No,Sales,4115,3,4
40,No,Sales,4327,3,0
50,No,Research & Development,17856,4,2
28,No,Research & Development,3196,3,6
46,No,Research & Development,19081,3,4
35,No,Sales,8966,3,7
24,Yes,Research & Development,2210,3,1
33,No,Sales,4539,3,10
36,No,Research & Development,2741,3,7
30,No,Research & Development,3491,3,10
44,No,Research & Development,4541,4,20
20,No,Sales,2678,3,2
46,No,Research & Development,7379,3,6
42,No,Human Resources,6272,3,4
60,No,Sales,5220,3,11
32,No,Research & Development,2743,4,2
32,No,Research & Development,4998,3,8
36,No,Research & Development,10252,4,7
33,No,Research & Development,2781,3,14
40,No,Sales,6852,3,5
25,No,Sales,4950,3,4
30,No,Research & Development,3579,4,11
42,No,Research & Development,13191,3,1
35,No,Sales,10377,3,13
27,No,Research & Development,2235,3,9
54,No,Research & Development,10502,3,5
44,No,Research & Development,2011,3,10
19,Yes,Research & Development,1859,4,1
29,No,Research & Development,3760,3,3
54,No,Research & Development,17779,3,10
31,No,Research & Development,6833,3,6
31,No,Research & Development,6812,3,10
59,No,Sales,5171,3,6
43,No,Research & Development,19740,3,8
49,No,Research & Development,18711,3,1
36,No,Research & Development,3692,3,11
48,No,Research & Development,2559,3,1
27,No,Research & Development,2517,3,5
29,No,Research & Development,6623,3,6
48,No,Research & Development,18265,3,1
29,No,Research & Development,16124,3,7
34,No,Research & Development,2585,3,1
44,No,Sales,18213,3,22
33,No,Sales,8380,3,9
19,No,Research & Development,2994,3,1
23,No,Research & Development,1223,4,1
,Yes,Sales,1118,3,1
26,No,Research & Development,2875,4,8
45,Yes,Sales,18824,3,24
55,No,Research & Development,13577,3,33
21,Yes,Research & Development,2625,4,2
46,No,Sales,18789,3,11
34,No,Sales,4538,3,3
51,No,Sales,19847,4,29
59,No,Research & Development,10512,3,9
34,No,Research & Development,,3,11
28,No,Research & Development,2154,3,4
44,No,Research & Development,19190,3,25
34,No,Human Resources,4490,3,10
35,No,Research & Development,3506,3,3
42,No,Research & Development,2372,3,1
43,No,Sales,10231,3,21
36,No,Research & Development,5410,3,16
44,Yes,Research & Development,7978,3,10
28,No,Research & Development,3867,3,2
51,No,Research & Development,2838,3,7
30,No,Research & Development,4695,3,8
29,Yes,Research & Development,3339,3,7
28,No,,2080,3,3
25,No,Research & Development,2096,3,2
32,No,Sales,6209,3,10
45,No,Research & Development,18061,4,0
39,No,Research & Development,17123,3,19
58,No,Research & Development,2372,3,2
32,Yes,Research & Development,4883,3,10
39,Yes,Research & Development,3904,3,5
30,No,Research & Development,4627,3,9
36,No,Research & Development,7094,3,7
46,No,Human Resources,3423,3,7
28,No,Research & Development,6674,3,9
50,No,Research & Development,16880,3,3
40,Yes,Sales,9094,3,5
52,Yes,Sales,8446,3,8
30,No,Research & Development,11916,4,9
39,No,Research & Development,4534,3,8
31,No,Sales,9852,3,10
41,No,Sales,6151,3,19
31,Yes,Sales,2302,3,3
44,Yes,Research & Development,2362,3,3
42,No,Research & Development,17861,3,20
55,No,Research & Development,19187,3,19
56,No,Human Resources,19717,3,7
40,No,Research & Development,3544,3,4
34,No,Research & Development,8500,3,9
40,No,Research & Development,4661,3,9
41,No,Sales,4103,3,9
35,No,Research & Development,4249,3,9
51,No,Human Resources,14026,3,33
38,No,Sales,6893,3,7
34,No,Sales,6125,3,10
25,No,Research & Development,3669,3,3
58,Yes,Research & Development,10008,3,10
40,No,Research & Development,2387,4,4
36,No,Sales,4639,3,15
48,No,Research & Development,7898,3,10
27,No,Sales,2534,3,1
51,No,Research & Development,13142,3,5
18,No,Research & Development,1611,3,0
35,No,Research & Development,5363,3,9
27,No,Sales,5071,4,6
55,Yes,Sales,13695,3,19
56,No,Research & Development,13402,3,19
34,No,Research & Development,2029,4,5
40,No,Research & Development,6377,4,12
34,No,Research & Development,5429,3,8
31,Yes,Sales,2785,3,1
35,Yes,Sales,4614,3,4
38,No,Research & Development,2610,3,4
34,No,Research & Development,6687,3,14
28,No,Sales,4724,3,5
31,Yes,Research & Development,6179,3,10
39,No,Sales,6120,3,5
51,No,Sales,10596,3,4
41,No,Research & Development,5467,3,6
37,No,Research & Development,2996,3,6
33,No,Sales,9998,3,5
32,No,Sales,4078,3,3
39,No,Research & Development,10920,4,6
25,No,Sales,6232,3,3
52,No,Research & Development,13247,3,5
43,No,Research & Development,4081,3,20
27,No,Sales,5769,3,6
27,Yes,Research & Development,2394,3,8
26,No,Research & Development,3904,3,4
42,No,Human Resources,16799,3,20
52,No,Research & Development,2950,3,5
37,No,Research & Development,3629,3,3
35,No,Research & Development,9362,3,2
25,No,Research & Development,3229,3,3
26,No,Research & Development,3578,3,7
29,No,Human Resources,7988,3,10
49,Yes,Research & Development,4284,4,4
29,Yes,Research & Development,7553,3,8
54,No,Research & Development,17328,3,20
58,No,Research & Development,19701,4,9
55,No,Research & Development,14732,3,7
36,No,Sales,9278,3,5
31,Yes,Sales,1359,3,1
30,No,Sales,4779,3,3
31,No,Research & Development,16422,3,3
34,No,Research & Development,2996,3,4
31,Yes,Research & Development,1261,3,1
27,No,Research & Development,2099,3,5
36,No,Research & Development,5810,3,10
36,No,Sales,5647,3,3
47,No,Research & Development,3420,3,6
25,Yes,Sales,4400,3,3
37,No,Research & Development,3500,3,6
56,No,Research & Development,2066,4,3
47,No,Research & Development,17169,3,20
24,No,Sales,4162,3,5
32,No,Sales,9204,3,4
34,No,Research & Development,3294,3,5
41,No,Research & Development,2127,3,4
40,No,Research & Development,3975,3,8
31,No,Sales,10793,3,13
46,Yes,Sales,10096,3,7
39,Yes,Research & Development,3646,4,1
31,Yes,Research & Development,7446,3,10
45,No,Research & Development,10851,3,7
31,No,Human Resources,2109,3,3
31,Yes,Research & Development,3722,3,2
45,No,Research & Development,9380,3,3
48,No,Sales,5486,3,2
34,Yes,Human Resources,2742,3,2
40,No,Research & Development,13757,3,9
28,No,Sales,8463,3,5
44,No,Research & Development,3162,3,5
53,No,Research & Development,16598,3,9
49,No,Research & Development,6651,3,3
40,No,Research & Development,2345,3,3
44,No,Research & Development,3420,3,5
33,No,Sales,4373,3,4
34,No,Sales,4759,3,13
30,No,Sales,5301,3,2
42,No,Research & Development,3673,3,12
44,No,Sales,4768,3,1
30,No,Research & Development,1274,3,1
57,No,Research & Development,4900,4,12
49,No,Research & Development,10466,3,8
34,No,Research & Development,17007,3,14
28,Yes,Sales,2909,3,3
29,Yes,Sales,5765,3,5
34,Yes,Sales,4599,4,15
35,No,Sales,2404,3,1
24,Yes,Research & Development,3172,3,0
24,No,Sales,2033,3,1
44,No,Research & Development,10209,3,2
29,No,Sales,8620,3,10
30,No,Human Resources,2064,4,5
55,No,Research & Development,4035,3,3
33,No,Research & Development,3838,3,5
47,No,Sales,4591,3,5
28,Yes,Research & Development,2561,3,0
28,No,Research & Development,1563,3,1
28,No,Sales,4898,3,4
49,No,Research & Development,4789,4,3
29,No,Research & Development,3180,3,3
28,No,Research & Development,6549,3,8
33,No,Research & Development,6388,3,0
32,No,Research & Development,11244,4,5
54,No,Research & Development,16032,4,14
29,Yes,Research & Development,2362,3,9
44,No,Research & Development,16328,3,20
39,No,Research & Development,8376,3,2
46,No,Sales,16606,3,13
35,No,Research & Development,8606,3,11
23,No,Research & Development,2272,3,4
40,Yes,Research & Development,2018,3,5
34,No,Sales,7083,3,10
31,Yes,Research & Development,4084,3,7
50,No,Research & Development,14411,3,32
34,No,Sales,2308,4,11
42,No,Research & Development,4841,3,1
37,No,Research & Development,4285,3,10
29,No,Research & Development,9715,3,7
33,No,Research & Development,4320,3,5
45,No,Research & Development,2132,4,
42,No,Research & Development,10124,3,20
40,No,Sales,5473,3,8
33,No,Research & Development,5207,3,15
40,No,Human Resources,16437,4,21
24,No,Research & Development,2296,3,1
40,No,Research & Development,4069,3,2
45,No,Research & Development,7441,3,10
35,No,Sales,2430,4,5
32,No,Research & Development,5878,3,7
36,No,Sales,2644,4,3
48,No,Sales,6439,3,8
29,No,Research & Development,2451,3,1
33,No,Sales,6392,3,2
30,Yes,Sales,9714,3,10
38,No,Human Resources,6077,3,6
35,No,Research & Development,2450,3,3
30,No,Sales,9250,3,4
35,Yes,Research & Development,2074,3,1
53,Yes,Research & Development,10169,3,33
38,Yes,Research & Development,4855,3,5
32,No,Research & Development,4087,3,6
48,No,Research & Development,2367,3,8
34,No,Research & Development,2972,3,1
55,No,Sales,19586,4,36
34,No,Research & Development,5484,3,2
26,No,Research & Development,2061,4,1
38,No,Sales,9924,3,9
38,No,Sales,4198,3,3
36,No,Sales,6815,3,1
29,No,Research & Development,4723,3,10
35,No,Research & Development,6142,3,5
39,No,Sales,8237,3,7
29,No,Research & Development,8853,3,6
50,No,Sales,19331,3,1
23,No,Research & Development,2073,3,2
36,No,Research & Development,5562,3,3
42,No,Research & Development,19613,4,1
35,No,Research & Development,3407,3,10
34,No,Research & Development,5063,3,8
40,No,Sales,4639,3,5
43,No,Research & Development,4876,3,6
35,No,Research & Development,2690,3,1
46,No,Sales,17567,3,26
28,Yes,Research & Development,2408,3,1
22,No,Research & Development,2814,3,4
50,No,Research & Development,11245,3,30
32,No,Research & Development,3312,3,3
44,No,Research & Development,19049,3,22
30,No,Research & Development,2141,3,6
45,No,Research & Development,5769,3,10
45,No,Sales,4385,3,10
31,No,Sales,5332,3,5
36,No,,4663,3,3
34,No,Research & Development,4724,3,9
49,No,Research & Development,3211,3,9
39,No,Research & Development,5377,3,7
27,No,Research & Development,4066,3,7
35,No,Research & Development,5208,3,16
28,No,Research & Development,4877,4,5
,No,Research & Development,3117,3,2
18,Yes,Sales,1569,3,0
47,No,Human Resources,19658,3,5
39,No,Research & Development,3069,3,10
40,No,Research & Development,10435,3,18
35,No,Research & Development,4148,3,14
37,No,Research & Development,5768,3,4
39,No,Research & Development,5042,3,9
45,No,Research & Development,5770,3,10
38,No,Research & Development,7756,3,5
35,Yes,Sales,10306,3,13
37,No,Research & Development,3936,3,8
40,No,Research & Development,7945,3,4
44,No,Human Resources,5743,3,10
48,No,Research & Development,15202,4,2
35,Yes,Sales,5440,3,2
24,No,Research & Development,3760,3,6
27,No,Research & Development,3517,3,3
27,No,Research & Development,2580,3,4
40,Yes,Research & Development,2166,3,4
29,No,Sales,5869,3,5
36,No,Research & Development,8008,3,3
25,No,Research & Development,5206,3,7
39,No,Research & Development,5295,4,5
49,No,Research & Development,16413,3,4
50,No,Research & Development,13269,3,14
20,No,Sales,2783,3,2
34,No,Research & Development,5433,3,11
36,No,Research & Development,2013,3,4
49,No,Research & Development,13966,3,15
36,No,Research & Development,4374,3,3
36,No,Research & Development,6842,4,5
54,No,Research & Development,17426,4,10
43,No,Research & Development,17603,4,14
35,Yes,Sales,4581,4,11
38,No,Research & Development,4735,3,13
29,No,Sales,4187,3,10
33,No,Sales,5505,3,6
32,No,Research & Development,5470,3,9
31,No,Sales,5476,3,10
49,No,Research & Development,2587,3,2
38,No,Research & Development,2440,4,4
47,No,Sales,15972,3,3
49,No,Research & Development,15379,3,8
41,No,Sales,7082,3,2
20,No,Sales,2728,3,2
33,No,Sales,5368,4,6
36,No,Research & Development,5347,3,3
44,No,Human Resources,3195,3,2
23,Yes,Research & Development,3989,3,5
38,No,Research & Development,3306,3,0
53,No,Research & Development,7005,3,4
48,Yes,Sales,2655,3,9
32,Yes,Research & Development,1393,3,1
26,No,Research & Development,2570,4,7
55,No,Research & Development,3537,3,4
34,No,Research & Development,3986,3,15
60,No,Research & Development,10883,4,1
33,No,Research & Development,2028,3,14
37,No,Sales,9525,3,6
34,No,Research & Development,2929,3,10
23,Yes,Sales,2275,4,3
44,No,Research & Development,7879,3,8
35,No,Research & Development,4930,3,5
43,No,Sales,7847,3,10
24,No,Research & Development,4401,3,5
41,No,Sales,9241,3,10
29,No,Research & Development,2974,3,5
36,No,Sales,4502,3,13
45,No,Research & Development,10748,4,23
24,Yes,Human Resources,1555,3,1
47,Yes,Sales,12936,3,23
26,No,Research & Development,2305,3,3
45,No,Research & Development,16704,3,21
32,No,Research & Development,3433,3,5
31,No,Research & Development,3477,3,5
41,No,Human Resources,6430,3,3
40,No,Research & Development,6516,3,1
24,No,Research & Development,3907,3,6
46,No,Research & Development,5562,3,10
35,No,Research & Development,6883,3,7
30,No,Research & Development,2862,3,10
47,No,Sales,,3,1
46,No,Sales,10368,3,10
36,Yes,Sales,6134,3,2
32,Yes,Sales,6735,3,0
23,No,Research & Development,3295,3,3
31,No,Research & Development,5238,4,5
39,No,Research & Development,6472,3,9
32,No,Sales,9610,3,4
40,No,Sales,19833,3,21
45,No,Human Resources,9756,4,5
30,No,Research & Development,4968,3,9
24,No,Human Resources,2145,3,2
30,Yes,Human Resources,2180,3,4
31,No,Sales,8346,3,5
27,No,Research & Development,3445,3,6
29,Yes,Sales,2760,3,2
29,No,Research & Development,6294,3,3
30,No,Sales,7140,3,7
34,No,Research & Development,2932,3,5
33,No,Sales,5147,3,11
49,No,Sales,4507,3,5
33,Yes,Sales,8564,4,0
38,No,Research & Development,2468,3,6
31,Yes,Sales,8161,3,1
29,No,Research & Development,2109,3,1
30,No,Research & Development,5294,3,7
32,No,Research & Development,2718,3,7
38,No,Research & Development,5811,3,1
43,Yes,Research & Development,2437,3,1
42,No,Research & Development,2766,4,5
55,No,Research & Development,19038,3,1
33,No,Research & Development,3055,3,9
41,No,Research & Development,2289,4,5
34,No,Sales,4001,3,15
53,No,Research & Development,12965,4,3
43,No,Human Resources,3539,3,9
34,No,Sales,6029,3,2
21,Yes,Sales,2679,3,1
38,No,Research & Development,3702,3,5
22,Yes,Research & Development,2398,3,1
31,No,Sales,5468,3,12
51,No,Research & Development,13116,3,2
37,No,Sales,4189,3,5
46,No,Research & Development,19328,3,2
36,No,Research & Development,8321,3,12
44,Yes,Research & Development,2342,3,5
37,No,Human Resources,4071,3,10
35,Yes,Sales,5813,3,10
33,No,Research & Development,3143,3,10
28,No,Research & Development,2044,3,5
39,No,Research & Development,13464,4,4
46,No,Sales,7991,3,2
40,No,Research & Development,3377,3,4
42,No,Research & Development,5538,3,0
35,No,Research & Development,5762,3,7
38,No,Human Resources,2592,3,11
34,Yes,Research & Development,5346,3,7
37,Yes,Research & Development,4213,3,10
39,No,Sales,4127,3,2
43,No,Research & Development,2438,3,3
41,No,Research & Development,6870,3,3
41,No,Sales,10447,3,22
30,No,Research & Development,9667,3,7
26,Yes,Human Resources,2148,3,5
46,Yes,Research & Development,8926,4,9
40,No,Research & Development,6513,3,5
34,No,Sales,6799,4,10
58,No,Sales,16291,4,16
35,No,Research & Development,2705,3,5
47,No,Research & Development,10333,3,22
40,No,Research & Development,4448,3,7
54,No,Research & Development,6854,3,7
31,No,Sales,9637,3,3
28,No,Research & Development,3591,4,3
38,No,Sales,5405,4,4
26,No,Sales,4684,3,5
58,No,Research & Development,15787,3,2
18,No,Research & Development,1514,3,0
31,Yes,Human Resources,2956,3,1
29,Yes,Human Resources,2335,3,2
45,No,Sales,5154,4,8
36,No,Research & Development,6962,4,1
43,No,Sales,5675,4,7
27,No,Research & Development,2379,3,5
29,No,Research & Development,3812,3,11
32,No,Sales,4648,3,0
42,No,Research & Development,2936,4,6
47,No,Research & Development,2105,3,2
46,No,Research & Development,8578,3,9
28,No,Human Resources,2706,3,3
29,No,Research & Development,6384,3,7
42,No,Research & Development,3968,3,0
32,Yes,Sales,9907,3,2
46,No,Sales,13225,3,19
27,No,Sales,3540,4,9
29,No,Human Resources,2804,3,1
43,No,Research & Development,19392,3,16
48,No,Research & Development,19665,3,22
29,Yes,Research & Development,2439,4,1
46,Yes,Sales,7314,4,8
27,No,Research & Development,4774,3,7
39,No,Research & Development,3902,3,2
55,No,Research & Development,2662,4,5
28,No,Sales,2856,3,1
30,Yes,Sales,1081,3,1
22,Yes,Research & Development,2472,4,1
36,No,Sales,5673,3,10
31,No,Research & Development,4197,3,10
34,No,Sales,9713,3,5
29,No,Research & Development,2062,3,3
37,No,Research & Development,4284,4,5
35,No,Research & Development,4788,3,3
45,No,Research & Development,5906,3,9
36,No,Human Resources,3886,4,10
40,No,Research & Development,16823,3,19
26,No,Research & Development,2933,3,1
27,No,Sales,6500,3,8
48,No,Research & Development,17174,3,22
44,No,,5033,3,2
34,Yes,Research & Development,2307,4,5
56,Yes,Research & Development,2587,3,4
36,No,Sales,5507,3,4
41,No,Sales,4393,4,5
42,No,Research & Development,13348,3,13
31,No,Sales,6583,3,5
34,No,Sales,8103,3,4
31,No,Research & Development,3978,3,2
26,No,Research & Development,2544,3,7
45,No,Research & Development,5399,3,4
33,No,Sales,5487,3,10
28,No,Sales,6834,3,7
29,Yes,Sales,1091,3,1
39,No,Sales,5736,3,3
27,No,Research & Development,2226,3,5
34,No,Research & Development,5747,3,15
28,Yes,Sales,9854,3,2
47,No,Research & Development,5467,3,8
56,No,Sales,5380,3,0
39,No,Research & Development,5151,4,10
38,No,Research & Development,2133,3,20
58,No,Sales,17875,3,1
32,Yes,Research & Development,2432,3,4
38,No,Research & Development,4771,3,5
49,No,Research & Development,19161,3,5
42,No,Sales,5087,3,0
27,Yes,Human Resources,2863,3,1
35,No,Sales,5561,3,5
28,No,Research & Development,2144,3,5
31,No,Research & Development,3065,3,4
36,No,Research & Development,2810,4,5
34,No,Sales,9888,4,14
34,No,Sales,8628,3,8
26,No,Research & Development,2867,3,7
29,No,Research & Development,5373,3,5
32,No,Research & Development,6667,3,5
31,No,Research & Development,5003,4,10
28,Yes,Research & Development,2367,3,4
38,No,Sales,2858,3,1
35,No,Sales,5204,3,10
27,No,Sales,4105,3,7
32,No,Research & Development,9679,4,1
31,Yes,Sales,5617,3,10
53,Yes,Sales,10448,3,2
54,No,Research & Development,2897,3,4
33,No,Research & Development,5968,4,9
43,No,Research & Development,7510,3,10
38,No,Human Resources,2991,3,6
55,No,Human Resources,19636,3,10
31,No,Research & Development,1129,3,1
39,No,Sales,13341,3,20
42,No,Research & Development,4332,3,20
31,No,Research & Development,11031,4,11
54,No,Research & Development,4440,3,5
24,No,Research & Development,4617,3,4
23,No,Research & Development,2647,3,5
40,No,Research & Development,6323,3,10
40,No,Sales,5677,3,11
25,No,Human Resources,2187,3,2
30,No,Research & Development,3748,3,12
25,No,Research & Development,3977,3,2
47,No,Research & Development,8633,4,17
33,No,Research & Development,2008,3,1
38,No,Sales,4440,3,15
31,No,Sales,3067,3,2
38,No,Research & Development,5321,3,8
42,No,Research & Development,5410,3,4
41,No,Research & Development,2782,4,5
47,No,Research & Development,11957,3,13
35,No,Research & Development,2660,3,2
22,No,Research & Development,3375,3,3
35,No,Research & Development,5098,3,10
33,No,Research & Development,4878,3,9
32,No,Research & Development,2837,3,6
40,No,Research & Development,2406,3,1
32,No,Sales,2269,3,2
39,No,Research & Development,4108,3,7
38,No,Research & Development,13206,3,18
32,No,Sales,10422,3,
37,No,Research & Development,13744,4,16
25,No,Sales,4907,4,5
52,No,Sales,3482,3,9
44,No,Research & Development,2436,3,4
21,No,Sales,2380,3,2
39,No,Research & Development,19431,3,6
23,Yes,Sales,1790,3,1
36,No,Sales,7644,3,9
36,No,Research & Development,5131,3,4
56,No,Research & Development,6306,4,13
29,Yes,Research & Development,4787,3,2
42,No,Research & Development,18880,3,22
56,Yes,Research & Development,2339,3,10
41,No,Research & Development,13570,4,20
34,No,Sales,6712,4,8
36,No,Sales,5406,4,15
41,No,Sales,8938,3,5
32,No,Research & Development,2439,3,4
35,No,Human Resources,8837,3,9
38,No,Sales,5343,3,10
50,Yes,Sales,6728,3,6
36,No,Sales,6652,3,6
45,No,Sales,4850,3,5
40,No,Research & Development,2809,3,2
35,No,Research & Development,5689,3,10
40,No,Research & Development,2001,3,5
35,No,Research & Development,2977,3,4
29,No,Research & Development,4025,3,4
29,No,Research & Development,3785,3,5
50,Yes,Sales,10854,3,3
39,No,Sales,12031,3,20
31,No,Research & Development,9936,3,9
26,No,Sales,2966,3,4
36,No,Research & Development,2571,3,5
39,No,Research & Development,9991,3,7
27,No,Research & Development,6142,4,6
49,No,Sales,5390,3,9
34,No,Research & Development,4404,3,4
